defect1_1,defect1_2,defect2_1,defect2_2,total_power
4,2,1,10,3264.46150267476
4,2,2,10,5028.056281476
4,2,3,10,4601.52387022211
4,2,4,10,4628.46636153744
4,2,5,10,3155.73877201174
5,2,1,3,1027.34764587359
5,2,2,3,3250.60516224011
5,2,3,3,2927.75700553395
5,2,4,3,2886.77718510911
5,2,5,3,2769.72879180201
5,2,1,4,952.412771611287
5,2,2,4,3217.2034035931
5,2,3,4,2879.47365706453
5,2,4,4,2848.56650363533
5,2,5,4,2698.61050482899
5,2,1,5,933.994059768
5,2,2,5,3199.57997021799
5,2,3,5,2867.47164382633
5,2,4,5,2846.89496393357
5,2,5,5,2631.20803061428
5,2,1,6,966.458642068381
5,2,2,6,3197.4043172001
5,2,3,6,2863.07458363997
5,2,4,6,2851.53746058457
5,2,5,6,2584.27471212488
5,2,1,7,1043.06728437078
5,2,2,7,3208.67245490463
5,2,3,7,2864.05846461066
5,2,4,7,2858.52029202221
5,2,5,7,2570.87576003437
5,2,1,8,1161.01806287694
5,2,2,8,3235.4994693887
5,2,3,8,2864.85396180902
5,2,4,8,2865.56974746582
5,2,5,8,2582.51539665382
5,2,1,9,1299.84550276892
5,2,2,9,3279.4652840999
5,2,3,9,2864.37898680222
5,2,4,9,2874.37556166866
5,2,5,9,2652.63444045858
5,2,1,10,1421.25573029782
5,2,2,10,3294.16496181998
5,2,3,10,2865.77732336098
5,2,4,10,2887.83834974079
5,2,5,10,2835.2613479761
1,3,2,3,2802.78949681863
1,3,3,3,2942.62206287373
1,3,4,3,2967.82636241867
1,3,5,3,928.221735895073
1,3,1,4,2926.23364883301
1,3,2,4,2837.10307847914
1,3,3,4,2937.42504241662
1,3,4,4,2964.85213878976
1,3,5,4,853.102640194731
1,3,1,5,2881.3115273203
1,3,2,5,2871.92541359946
1,3,3,5,2938.9274867151
1,3,4,5,2962.42861335813
1,3,5,5,829.273707130043
1,3,1,6,2857.9373452507
1,3,2,6,2901.97464788977
1,3,3,6,2938.36575232906
1,3,4,6,2962.48833936211
1,3,5,6,851.190521244722
1,3,1,7,2865.35804246935
1,3,2,7,2948.71018577311
1,3,3,7,2936.99943215864
1,3,4,7,2963.54868628828
1,3,5,7,911.32358970665
1,3,1,8,2906.83010476498
1,3,2,8,3020.03828986311
1,3,3,8,2936.17289305148
1,3,4,8,2965.96218446338
1,3,5,8,1015.63365926731
1,3,1,9,3001.76727317706
1,3,2,9,3118.98491162167
1,3,3,9,2936.0381469856
1,3,4,9,2970.14606683124
1,3,5,9,1161.01806488587
1,3,1,10,3108.45638755675
1,3,2,10,3208.3167730495
1,3,3,10,2936.07855482576
1,3,4,10,2972.48639671913
1,3,5,10,1396.08116720759
2,3,3,3,4942.96417933191
2,3,4,3,4950.92290665818
2,3,5,3,3087.26077124654
